Text,Language
"Pages for logged out editors learn more Natural language processing (NLP) is an interdisciplinary subfield of linguistics, computer science, and artificial intelligence concerned with the interactions between computers and human language, in particular how to program computers to process and analyze large amounts of natural language data.",English
"The goal is a computer capable of ""understanding"" the contents of documents, including the contextual nuances of the language within them.",English
The technology can then accurately extract information and insights contained in the documents as well as categorize and organize the documents themselves.,English
"Challenges in natural language processing frequently involve speech recognition, natural-language understanding, and natural-language generation.",English
Natural language processing has its roots in the 1950s.,English
"Already in 1950, Alan Turing published an article titled ""Computing Machinery and Intelligence"" which proposed what is now called the Turing test as a criterion of intelligence, though at the time that was not articulated as a problem separate from artificial intelligence.",English
The proposed test includes a task that involves the automated interpretation and generation of natural language.,English
"The premise of symbolic NLP is well-summarized by John Searle's Chinese room experiment: Given a collection of rules (e.g., a Chinese phrasebook, with questions and matching answers), the computer emulates natural language understanding (or other NLP tasks) by applying those rules to the data it confronts.",English
"Up to the 1980s, most natural language processing systems were based on complex sets of hand-written rules.",English
"Starting in the late 1980s, however, there was a revolution in natural language processing with the introduction of machine learning algorithms for language processing.",English
This was due to both the steady increase in computational power (see Moore's law) and the gradual lessening of the dominance of Chomskyan theories of linguistics (e.g.,English
"transformational grammar), whose theoretical underpinnings discouraged the sort of corpus linguistics that underlies the machine-learning approach to language processing.",English
"[6] In the 2010s, representation learning and deep neural network-style machine learning methods became widespread in natural language processing.",English
"That popularity was due partly to a flurry of results showing that such techniques[7][8] can achieve state-of-the-art results in many natural language tasks, e.g., in language modeling[9] and parsing.",English
"[10][11] This is increasingly important in medicine and healthcare, where NLP helps analyze notes and text in electronic health records that would otherwise be inaccessible for study when seeking to improve care.",English
"[12] In the early days, many language-processing systems were designed by symbolic methods, i.e., the hand-coding of a set of rules, coupled with a dictionary lookup:[13][14] such as by writing grammars or devising heuristic rules for stemming.",English
"More recent systems based on machine-learning algorithms have many advantages over hand-produced rules: Despite the popularity of machine learning in NLP research, symbolic methods are still (2020) commonly used: Since the so-called ""statistical revolution""[15][16] in the late 1980s and mid-1990s, much natural language processing research has relied heavily on machine learning.",English
"The machine-learning paradigm calls instead for using statistical inference to automatically learn such rules through the analysis of large corpora (the plural form of corpus, is a set of documents, possibly with human or computer annotations) of typical real-world examples.",English
Many different classes of machine-learning algorithms have been applied to natural-language-processing tasks.,English
"These algorithms take as input a large set of ""features"" that are generated from the input data.",English
"Increasingly, however, research has focused on statistical models, which make soft, probabilistic decisions based on attaching real-valued weights to each input feature (complex-valued embeddings,[17] and neural networks in general have also been proposed, for e.g.",English
speech[18]).,English
"Such models have the advantage that they can express the relative certainty of many different possible answers rather than only one, producing more reliable results when such a model is included as a component of a larger system.",English
"Some of the earliest-used machine learning algorithms, such as decision trees, produced systems of hard if-then rules similar to existing hand-written rules.",English
"However, part-of-speech tagging introduced the use of hidden Markov models to natural language processing, and increasingly, research has focused on statistical models, which make soft, probabilistic decisions based on attaching real-valued weights to the features making up the input data.",English
The cache language models upon which many speech recognition systems now rely are examples of such statistical models.,English
"Such models are generally more robust when given unfamiliar input, especially input that contains errors (as is very common for real-world data), and produce more reliable results when integrated into a larger system comprising multiple subtasks.",English
"Since the neural turn, statistical methods in NLP research have been largely replaced by neural networks.",English
"However, they continue to be relevant for contexts in which statistical interpretability and transparency is required.",English
A major drawback of statistical methods is that they require elaborate feature engineering.,English
"Since 2015,[19] the field has thus largely abandoned statistical methods and shifted to neural networks for machine learning.",English
"Popular techniques include the use of word embeddings to capture semantic properties of words, and an increase in end-to-end learning of a higher-level task (e.g., question answering) instead of relying on a pipeline of separate intermediate tasks (e.g., part-of-speech tagging and dependency parsing).",English
"In some areas, this shift has entailed substantial changes in how NLP systems are designed, such that deep neural network-based approaches may be viewed as a new paradigm distinct from statistical natural language processing.",English
"For instance, the term neural machine translation (NMT) emphasizes the fact that deep learning-based approaches to machine translation directly learn sequence-to-sequence transformations, obviating the need for intermediate steps such as word alignment and language modeling that was used in statistical machine translation (SMT).",English
The following is a list of some of the most commonly researched tasks in natural language processing.,English
"Some of these tasks have direct real-world applications, while others more commonly serve as subtasks that are used to aid in solving larger tasks.",English
"Though natural language processing tasks are closely intertwined, they can be subdivided into categories for convenience.",English
A coarse division is given below.,English
"Based on long-standing trends in the field, it is possible to extrapolate future directions of NLP.",English
"As of 2020, three trends among the topics of the long-standing series of CoNLL Shared Tasks can be observed:[40] Most higher-level NLP applications involve aspects that emulate intelligent behaviour and apparent comprehension of natural language.",English
"More broadly speaking, the technical operationalization of increasingly advanced aspects of cognitive behaviour represents one of the developmental trajectories of NLP (see trends among CoNLL shared tasks above).",English
